Question,Picture_ID,Type,Subtype,Expert_Answer
"【你在厨房】李冰说：“把刚刚拌过沙拉的那双不一样的{叉子}给我。” 你需要给李冰要的{叉子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 蓝色框；2. 绿色框；3. 两张图片都可以；4. 两张图片都不可以",folk_on_table_physical_uniqueness,Physical_uniqueness,Unique With Hint,绿色
"【你在教室】李同学说：“啊，我忘了签名了，把那只{笔}给我。” 你需要给李同学要的{笔}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",pen_physical_uniqueness,Physical_uniqueness,Feature No Hint,绿色
"【你在教室】李同学说：“啊，我忘了签名了，把那只不一样的{笔}给我。” 你需要给李同学要的{笔}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",pen_physical_uniqueness,Physical_uniqueness,Feature With Hint,绿色
"【你在厨房】妈妈说：“汤好了，把那个{碗}给我。” 你需要给妈妈要的{碗}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",bowl_physical_uniqueness,Physical_uniqueness,Feature No Hint,绿色
"【你在厨房】妈妈说：“汤好了，把那个不一样的{碗}给我。” 你需要给妈妈要的{碗}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",bowl_physical_uniqueness,Physical_uniqueness,Feature With Hint,绿色
"【你在厨房】妈妈说：“把拌肉的{筷子}给我。” 你需要给妈妈要的{筷子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",chopsticks_physical_uniqueness,Physical_uniqueness,Feature No Hint,蓝色
"【你在厨房】妈妈说：“把那双不一样的拌肉的{筷子}给我。” 你需要给妈妈要的{筷子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",chopsticks_physical_uniqueness,Physical_uniqueness,Feature With Hint,蓝色
"【你在厨房】妈妈说：“把油炸料理{筷子}给我。” 你需要给妈妈要的{筷子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",long_chop_physical_uniqueness,Physical_uniqueness,Feature No Hint,绿色
"【你在厨房】妈妈说：“把那双不一样的油炸料理{筷子}给我。” 你需要给妈妈要的{筷子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 绿色框；2. 蓝色框；3. 两张图片都可以；4. 两张图片都不可以",long_chop_physical_uniqueness,Physical_uniqueness,Feature With Hint,绿色
"【你在厨房】李冰说：“把那个{盘子}给我。” 你需要给李冰要的{盘子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 蓝色框；2. 红色框；3. 两张图片都可以；4. 两张图片都不可以",plate_physical_uniqueness,Physical_uniqueness,Feature No Hint,红色
"【你在厨房】李冰说：“把那个不一样的{盘子}给我。” 你需要给李冰要的{盘子}，请问下面哪张图片所示情景无需进一步追问便可完成任务，请回复{1, 2, 3, 4} 1. 蓝色框；2. 红色框；3. 两张图片都可以；4. 两张图片都不可以",plate_physical_uniqueness,Physical_uniqueness,Feature With Hint,红色
"【你在收拾寝室的柜子】李冰说:“那个｛袋子｝不错，把它给我泡脚吧。”请问你要操作的{袋子}在哪里？ 1.红色框; 2.蓝色框; 3.绿色框; 4.不在这里; 请回复{1,2,3,4}，并给出简短的理由。",bag_qualia,Qualia,Unusual Qualia,绿色
"【你在收拾寝室的柜子】李冰说:“那个｛袋子｝不错，把没吃完的冰淇淋放里面吧。”请问你要操作的{袋子}在哪里？ 1.红色框; 2.蓝色框; 3.绿色框; 4.不在这里; 请回复{1,2,3,4}，并给出简短的理由。",bag_qualia,Qualia,Typical Qualia,绿色
"【晚饭后李冰买了水果和奶茶】李冰说：“吸管呢？欸，这个{水果}也可以打开奶茶吧。” 请问你要操作的{水果}在哪里？ 1.红色框; 2.蓝色框; 3.绿色框; 4.不在这里; 请回复{1,2,3,4}，并给出简短的理由。",durian_qualia,Qualia,Unusual Qualia,蓝色
"【晚饭后李冰买了水果和奶茶】李冰说：“我想榨果汁喝，把那个{水果}给我。” 请问你要操作的{水果}在哪里？ 1.红色框; 2.蓝色框; 3.绿色框; 4.不在这里; 请回复{1,2,3,4}，并给出简短的理由。",durian_qualia,Qualia,Typical Qualia,红色
"【你在客厅】李冰说：“找不到啤酒的开瓶器，欸，把化妆桌上的那个{夹子}给我。” 请问你要操作的{夹子}在哪里？ 1.红色框; 2.蓝色框; 3.绿色框; 4.不在这里; 请回复{1,2,3,4}，并给出简短的理由。",opener_qualia,Qualia,Unusual Qualia,蓝色
"【你在客厅】李冰说：“要迟到了，还没刷睫毛，把化妆桌上的那个{夹子}给我。” 请问你要操作的{夹子}在哪里？ 1.红色框; 2.蓝色框; 3.绿色框; 4.不在这里; 请回复{1,2,3,4}，并给出简短的理由。",opener_qualia,Qualia,Typical Qualia,蓝色
"【你在厨房，李冰在做饭】李冰说：“你把那个{饮料}给我擀饺子皮。”请问你要操作的{饮料}在哪里？ 1.红色框; 2.蓝色框; 3.绿色框; 4.不在这里; 请回复{1,2,3,4}，并给出简短的理由。",drink_qualia,Qualia,Unusual Qualia,绿色
"【你在厨房，李冰在做饭】李冰说：“好困呐，你把那个{饮料}给我喝口提神。”请问你要操作的{饮料}在哪里？ 1.红色框; 2.蓝色框; 3.绿色框; 4.不在这里; 请回复{1,2,3,4}，并给出简短的理由。",drink_qualia,Qualia,Typical Qualia,蓝色
"【你在停车场，站在蓝色箱子旁,一个小孩被关在车里】朋友说：“我要开窗户，把那个{球}拿给我！”请问你要操作的{球}在哪里？ 1.红色框; 2.黄色框; 3.绿色框; 4.不在这里; 请回复{1,2,3,4}，并给出简短的理由。",ball_qualia,Qualia,Unusual Qualia,绿色
"【你在海边，站在蓝色箱子旁, 小孩在游泳】朋友说：“把那个{球}拿给我！”请问你要操作的{球}在哪里？ 1.红色框; 2.黄色框; 3.绿色框; 4.不在这里; 请回复{1,2,3,4}，并给出简短的理由。",ball_qualia,Qualia,Typical Qualia,黄色
